Proceso,Mes,Ano,Presupuesto,Real
Proceso 24,12,2015,23808811,34153151
Proceso 25,1,2015,12642667,5968138
Proceso 25,2,2015,1819707,13790838
Proceso 25,3,2015,22819159,19871188
Proceso 25,4,2015,6322162,16439620
Proceso 25,5,2015,25168370,12534523
Proceso 25,6,2015,17430355,19987017
Proceso 25,7,2015,7568462,8858404
Proceso 25,8,2015,11697035,21440671
Proceso 25,9,2015,31595181,23557768
Proceso 25,10,2015,10270089,19231972
Proceso 25,11,2015,8696001,14722728
Proceso 25,12,2015,28616560,39674219
Proceso 27,2,2015,668728,553649
Proceso 27,4,2015,1366924,1131695
Proceso 27,5,2015,1096279,907625
Proceso 27,7,2015,458583,379667
Proceso 27,8,2015,415543,344034
Proceso 27,9,2015,585525,484764
Proceso 27,10,2015,70210,58128
Proceso 27,11,2015,1003538,830843
Proceso 28,3,2015,899315,434128
Proceso 28,4,2015,7414075,3579011
Proceso 28,5,2015,414905,200288
Proceso 28,7,2015,1396945,674350
Proceso 28,8,2015,452355,218366
Proceso 28,9,2015,160255,77360
Proceso 28,10,2015,325342,157053
Proceso 28,11,2015,1410153,680726
Proceso 28,12,2015,3644588,1759359
Proceso 29,1,2015,174671,33933
Proceso 29,2,2015,282579,744217
Proceso 29,3,2015,101049,1832292
Proceso 29,4,2015,639614,543888
Proceso 29,5,2015,13288,34997
Proceso 29,6,2015,95754,2659391
Proceso 29,7,2015,3619979,423675
Proceso 29,8,2015,158153,416522
Proceso 29,9,2015,1661663,6119174
Proceso 29,10,2015,226616,2238040
Proceso 29,11,2015,2650730,7844533
Proceso 29,12,2015,1674349,6891520
Proceso 30,1,2015,80515747,70571077
Proceso 30,2,2015,95165179,87459999
Proceso 30,3,2015,85393875,74889634
Proceso 30,4,2015,69797770,62593475
Proceso 30,5,2015,48078859,58834054
Proceso 30,6,2015,107910407,88470294
Proceso 30,7,2015,79249308,60464759
Proceso 30,8,2015,105189029,88980245
Proceso 30,9,2015,110265731,98163233
Proceso 30,10,2015,94527748,83496973
Proceso 30,11,2015,71640286,79903668
Proceso 30,12,2015,86312409,75003214
Proceso 31,1,2015,310204,102417
Proceso 31,2,2015,22858450,7546946
Proceso 31,3,2015,23014812,7598570
Proceso 31,4,2015,946096,312363
Proceso 31,5,2015,45935,15166
Proceso 31,6,2015,413827,136629
Proceso 31,7,2015,206913,68315
Proceso 31,8,2015,1120121,369819
Proceso 1,3,2016,0,70591
Proceso 1,8,2016,0,668061
Proceso 2,1,2016,55100,118311
Proceso 2,4,2016,45463,97619
Proceso 2,6,2016,100429,215640
Proceso 2,8,2016,1494017,3207948
Proceso 2,9,2016,235117,504843
Proceso 3,2,2016,5422060,5347255
Proceso 3,3,2016,3523231,3474623
Proceso 3,4,2016,5552693,5476086
Proceso 3,5,2016,1580209,1558408
Proceso 3,6,2016,190061,187439
Proceso 3,7,2016,4279331,4220292
Proceso 3,8,2016,2147744,2118113
Proceso 3,9,2016,1455350,1435272
Proceso 4,1,2016,14152514,15420570
Proceso 4,2,2016,12593039,13721367
Proceso 4,3,2016,12031385,13109389
Proceso 4,4,2016,10738422,11700578
Proceso 4,5,2016,10881401,11856368
Proceso 4,6,2016,12997360,14161915
Proceso 4,7,2016,14912149,16248268
Proceso 4,8,2016,14543238,15846303
Proceso 4,9,2016,10734840,11696675
Proceso 5,4,2016,0,818693
Proceso 5,5,2016,0,735550
Proceso 6,1,2016,1391911,2179013
Proceso 6,2,2016,8978005,17971436
